date,date,min_day,max_day,mean_day
2021-05-01,2021-05-01,53.0,99.0,82.60416666666667
2021-05-02,2021-05-02,51.0,99.0,82.3125
2021-05-03,2021-05-03,62.0,99.0,86.85416666666667
2021-05-04,2021-05-04,38.0,95.0,69.875
2021-05-05,2021-05-05,44.0,99.0,77.69791666666667
2021-05-06,2021-05-06,32.0,99.0,75.55208333333333
2021-05-07,2021-05-07,37.0,99.0,77.6875
2021-05-08,2021-05-08,47.0,99.0,80.15625
2021-05-09,2021-05-09,52.0,99.0,85.8125
2021-05-10,2021-05-10,66.0,99.0,89.65625
2021-05-11,2021-05-11,32.0,99.0,74.78125
2021-05-12,2021-05-12,31.0,99.0,71.69791666666667
2021-05-13,2021-05-13,35.0,99.0,77.125
2021-05-14,2021-05-14,36.0,99.0,79.52083333333333
2021-05-15,2021-05-15,44.0,99.0,80.8125
2021-05-16,2021-05-16,40.0,99.0,77.13541666666667
2021-05-17,2021-05-17,43.0,99.0,80.19791666666667
2021-05-18,2021-05-18,52.0,99.0,82.42708333333333
2021-05-19,2021-05-19,56.0,99.0,80.52083333333333
2021-05-20,2021-05-20,85.0,99.0,96.96875
2021-05-21,2021-05-21,99.0,99.0,99.0
2021-05-22,2021-05-22,98.0,99.0,98.98958333333333
2021-05-23,2021-05-23,65.0,99.0,92.01041666666667
2021-05-24,2021-05-24,41.0,99.0,76.69791666666667
2021-05-25,2021-05-25,36.0,99.0,74.47916666666667
2021-05-26,2021-05-26,48.0,99.0,81.0625
2021-05-27,2021-05-27,50.0,99.0,80.84375
2021-05-28,2021-05-28,34.0,99.0,80.15625
2021-05-29,2021-05-29,41.0,98.0,73.42708333333333
2021-05-30,2021-05-30,35.0,99.0,73.39583333333333
2021-05-31,2021-05-31,42.0,95.0,70.57291666666667
2021-06-01,2021-06-01,42.0,99.0,70.03125
2021-06-02,2021-06-02,46.0,99.0,83.59375
2021-06-03,2021-06-03,47.0,99.0,82.77083333333333
2021-06-04,2021-06-04,76.0,99.0,89.07291666666667
2021-06-05,2021-06-05,45.0,99.0,81.09375
2021-06-06,2021-06-06,47.0,99.0,79.66666666666667
2021-06-07,2021-06-07,69.0,99.0,91.48958333333333
2021-06-08,2021-06-08,72.0,99.0,94.21875
2021-06-09,2021-06-09,67.0,99.0,92.6875
2021-06-10,2021-06-10,38.0,99.0,80.21875
2021-06-11,2021-06-11,35.0,99.0,72.3125
2021-06-12,2021-06-12,57.0,99.0,84.83333333333333
2021-06-13,2021-06-13,55.0,99.0,85.57291666666667
2021-06-14,2021-06-14,66.0,99.0,88.88541666666667
2021-06-15,2021-06-15,55.0,98.0,82.27083333333333
2021-06-16,2021-06-16,69.0,98.0,86.6875
2021-06-17,2021-06-17,68.0,99.0,85.89583333333333
2021-06-18,2021-06-18,54.0,99.0,83.80208333333333
2021-06-19,2021-06-19,47.0,99.0,81.84375
2021-06-20,2021-06-20,64.0,99.0,91.57291666666667
2021-06-21,2021-06-21,81.0,99.0,96.08333333333333
2021-06-22,2021-06-22,74.0,99.0,94.59375
2021-06-23,2021-06-23,89.0,99.0,98.09375
2021-06-24,2021-06-24,66.0,99.0,91.70833333333333
2021-06-25,2021-06-25,55.0,99.0,89.07291666666667
2021-06-26,2021-06-26,68.0,99.0,91.38541666666667
2021-06-27,2021-06-27,69.0,99.0,90.875
2021-06-28,2021-06-28,71.0,99.0,92.48958333333333
2021-06-29,2021-06-29,58.0,99.0,87.13541666666667
2021-06-30,2021-06-30,48.0,99.0,84.17708333333333
2021-07-01,2021-07-01,52.0,99.0,85.46875
2021-07-02,2021-07-02,40.0,99.0,77.91666666666667
2021-07-03,2021-07-03,28.0,99.0,70.11458333333333
2021-07-04,2021-07-04,55.0,99.0,83.375
2021-07-05,2021-07-05,45.0,99.0,83.46875
2021-07-06,2021-07-06,63.0,99.0,87.6875
2021-07-07,2021-07-07,54.0,99.0,88.09375
2021-07-08,2021-07-08,63.0,99.0,89.29166666666667
2021-07-09,2021-07-09,39.0,97.0,73.46875
2021-07-10,2021-07-10,30.0,99.0,66.11458333333333
2021-07-11,2021-07-11,36.0,99.0,71.10416666666667
2021-07-12,2021-07-12,64.0,99.0,86.20833333333333
2021-07-13,2021-07-13,67.0,99.0,87.48958333333333
2021-07-14,2021-07-14,81.0,99.0,97.47916666666667
2021-07-15,2021-07-15,59.0,99.0,89.6875
2021-07-16,2021-07-16,57.0,99.0,89.47916666666667
2021-07-17,2021-07-17,36.0,99.0,75.14583333333333
2021-07-18,2021-07-18,49.0,99.0,79.80208333333333
2021-07-19,2021-07-19,44.0,99.0,79.64583333333333
2021-07-20,2021-07-20,37.0,92.0,69.26041666666667
2021-07-21,2021-07-21,39.0,93.0,70.72916666666667
2021-07-22,2021-07-22,46.0,99.0,75.44791666666667
2021-07-23,2021-07-23,39.0,99.0,78.46875
2021-07-24,2021-07-24,55.0,99.0,85.84375
2021-07-25,2021-07-25,63.0,99.0,90.0
2021-07-26,2021-07-26,42.0,99.0,75.28125
2021-07-27,2021-07-27,38.0,97.0,70.97916666666667
2021-07-28,2021-07-28,47.0,99.0,82.10416666666667
2021-07-29,2021-07-29,36.0,99.0,72.63541666666667
2021-07-30,2021-07-30,36.0,92.0,65.40625
2021-07-31,2021-07-31,32.0,99.0,68.35416666666667
2021-08-01,2021-08-01,35.0,99.0,73.97916666666667
2021-08-02,2021-08-02,34.0,99.0,73.23958333333333
2021-08-03,2021-08-03,37.0,99.0,75.63541666666667
2021-08-04,2021-08-04,35.0,99.0,76.22916666666667
2021-08-05,2021-08-05,66.0,99.0,92.58333333333333
2021-08-06,2021-08-06,46.0,99.0,80.36458333333333
2021-08-07,2021-08-07,43.0,99.0,79.28125
2021-08-08,2021-08-08,92.0,99.0,98.57291666666667
2021-08-09,2021-08-09,49.0,99.0,83.94791666666667
2021-08-10,2021-08-10,40.0,99.0,78.64583333333333
2021-08-11,2021-08-11,34.0,99.0,74.35416666666667
2021-08-12,2021-08-12,48.0,99.0,83.44791666666667
2021-08-13,2021-08-13,42.0,99.0,81.61458333333333
2021-08-14,2021-08-14,43.0,99.0,82.58333333333333
2021-08-15,2021-08-15,40.0,99.0,78.46875
2021-08-16,2021-08-16,49.0,99.0,79.45833333333333
2021-08-17,2021-08-17,48.0,99.0,79.76041666666667
2021-08-18,2021-08-18,53.0,99.0,83.94791666666667
2021-08-19,2021-08-19,50.0,99.0,83.71875
2021-08-20,2021-08-20,27.0,99.0,67.91666666666667
2021-08-21,2021-08-21,39.0,97.0,69.72916666666667
2021-08-22,2021-08-22,20.0,99.0,69.38541666666667
2021-08-23,2021-08-23,25.0,84.0,56.885416666666664
2021-08-24,2021-08-24,29.0,95.0,64.29166666666667
2021-08-25,2021-08-25,26.0,99.0,67.52083333333333
2021-08-26,2021-08-26,24.0,98.0,56.520833333333336
2021-08-27,2021-08-27,27.0,94.0,56.395833333333336
2021-08-28,2021-08-28,33.0,92.0,65.88541666666667
2021-08-29,2021-08-29,30.0,99.0,70.76041666666667
2021-08-30,2021-08-30,43.0,99.0,73.79166666666667
2021-08-31,2021-08-31,42.0,92.0,67.27083333333333
2021-09-01,2021-09-01,64.0,99.0,86.82291666666667
2021-09-02,2021-09-02,99.0,99.0,99.0
2021-09-03,2021-09-03,92.0,99.0,98.23958333333333
2021-09-04,2021-09-04,83.0,99.0,97.03125
2021-09-05,2021-09-05,79.0,99.0,94.11458333333333
2021-09-06,2021-09-06,78.0,99.0,93.19791666666667
2021-09-07,2021-09-07,91.0,99.0,98.25
2021-09-08,2021-09-08,95.0,99.0,98.875
2021-09-09,2021-09-09,76.0,99.0,92.65625
2021-09-10,2021-09-10,67.0,99.0,91.16666666666667
2021-09-11,2021-09-11,61.0,99.0,86.01041666666667
2021-09-12,2021-09-12,43.0,95.0,76.22916666666667
2021-09-13,2021-09-13,67.0,99.0,85.78125
2021-09-14,2021-09-14,30.0,99.0,64.14583333333333
2021-09-15,2021-09-15,25.0,99.0,61.510416666666664
2021-09-16,2021-09-16,29.0,99.0,57.072916666666664
2021-09-17,2021-09-17,35.0,97.0,66.70833333333333
2021-09-18,2021-09-18,41.0,99.0,76.16666666666667
2021-09-19,2021-09-19,66.0,99.0,88.09375
2021-09-20,2021-09-20,52.0,99.0,81.92708333333333
2021-09-21,2021-09-21,32.0,99.0,71.0625
2021-09-22,2021-09-22,84.0,99.0,94.96875
2021-09-23,2021-09-23,51.0,99.0,84.98958333333333
2021-09-24,2021-09-24,43.0,99.0,76.71875
2021-09-25,2021-09-25,42.0,99.0,74.5
2021-09-26,2021-09-26,37.0,99.0,71.83333333333333
2021-09-27,2021-09-27,47.0,99.0,82.26315789473684
2021-09-28,2021-09-28,90.0,99.0,97.5
2021-09-29,2021-09-29,60.0,99.0,85.65625
2021-09-30,2021-09-30,80.0,99.0,95.36842105263158
2021-10-01,2021-10-01,29.0,99.0,67.17708333333333
2021-10-02,2021-10-02,62.0,96.0,82.5
2021-10-03,2021-10-03,28.0,98.0,62.927083333333336
2021-10-04,2021-10-04,20.0,99.0,58.427083333333336
2021-10-05,2021-10-05,31.0,95.0,58.770833333333336
2021-10-06,2021-10-06,34.0,99.0,65.75
2021-10-07,2021-10-07,36.0,99.0,68.625
2021-10-08,2021-10-08,32.0,93.0,63.854166666666664
2021-10-09,2021-10-09,39.0,99.0,71.96875
2021-10-10,2021-10-10,61.0,99.0,90.76041666666667
2021-10-11,2021-10-11,41.0,99.0,79.03125
2021-10-12,2021-10-12,40.0,99.0,75.80208333333333
2021-10-13,2021-10-13,89.0,99.0,96.42708333333333
2021-10-14,2021-10-14,51.0,99.0,86.89583333333333
2021-10-15,2021-10-15,32.0,99.0,70.79166666666667
2021-10-16,2021-10-16,32.0,96.0,61.572916666666664
2021-10-17,2021-10-17,31.0,99.0,63.239583333333336
2021-10-18,2021-10-18,27.0,99.0,62.947916666666664
2021-10-19,2021-10-19,29.0,99.0,67.35416666666667
2021-10-20,2021-10-20,29.0,99.0,63.33684210526316
2021-10-21,2021-10-21,26.0,99.0,57.416666666666664
2021-10-22,2021-10-22,45.0,94.0,69.30208333333333
2021-10-23,2021-10-23,44.0,99.0,81.55208333333333
2021-10-24,2021-10-24,23.0,99.0,61.760416666666664
2021-10-25,2021-10-25,23.0,81.0,50.489583333333336
2021-10-26,2021-10-26,16.0,95.0,47.885416666666664
2021-10-27,2021-10-27,21.0,74.0,46.75
2021-10-28,2021-10-28,18.0,70.0,42.604166666666664
2021-10-29,2021-10-29,25.0,75.0,46.854166666666664
2021-10-30,2021-10-30,33.0,95.0,61.96875
2021-10-31,2021-10-31,60.0,99.0,77.20833333333333
2021-11-01,2021-11-01,87.0,99.0,96.51041666666667
2021-11-02,2021-11-02,60.0,99.0,89.75
2021-11-03,2021-11-03,53.0,99.0,82.8125
2021-11-04,2021-11-04,40.0,99.0,77.89583333333333
2021-11-05,2021-11-05,44.0,99.0,74.8125
2021-11-06,2021-11-06,47.0,96.0,70.0625
2021-11-07,2021-11-07,43.0,99.0,74.125
2021-11-08,2021-11-08,34.0,99.0,67.39583333333333
2021-11-09,2021-11-09,33.0,98.0,70.35416666666667
2021-11-10,2021-11-10,41.0,99.0,72.72916666666667
2021-11-11,2021-11-11,36.0,86.0,58.270833333333336
2021-11-12,2021-11-12,29.0,87.0,54.864583333333336
2021-11-13,2021-11-13,41.0,99.0,66.05208333333333
2021-11-14,2021-11-14,33.0,99.0,73.47916666666667
2021-11-15,2021-11-15,49.0,99.0,77.01041666666667
2021-11-16,2021-11-16,52.0,99.0,74.19791666666667
2021-11-17,2021-11-17,30.0,99.0,62.645833333333336
2021-11-18,2021-11-18,26.0,99.0,60.0625
2021-11-19,2021-11-19,26.0,93.0,53.854166666666664
2021-11-20,2021-11-20,29.0,94.0,57.791666666666664
2021-11-21,2021-11-21,20.0,79.0,48.28125
2021-11-22,2021-11-22,25.0,89.0,47.885416666666664
2021-11-23,2021-11-23,22.0,72.0,45.541666666666664
2021-11-24,2021-11-24,29.0,70.0,44.46875
2021-11-25,2021-11-25,54.0,99.0,91.41666666666667
2021-11-26,2021-11-26,38.0,99.0,71.16666666666667
2021-11-27,2021-11-27,35.0,99.0,70.17708333333333
2021-11-28,2021-11-28,61.0,99.0,86.15625
2021-11-29,2021-11-29,28.0,99.0,66.54166666666667
2021-11-30,2021-11-30,31.0,99.0,61.260416666666664
